ps_number,mfg_part_number,name,brand,appliance_type,price,in_stock,rating,review_count,installation_difficulty,source_url
PS296973,WR24X450,RCA Refrigerator Fresh Food Door Gasket,GE,refrigerator,140.73,True,5.0,6,Easy,https://www.partselect.com/PS296973-GE-WR24X450-Fresh-Food-Door-Gasket.htm
PS296969,WR24X446,RCA Refrigerator Fresh Food Door Gasket,GE,refrigerator,166.57,True,5.0,4,Easy,https://www.partselect.com/PS296969-GE-WR24X446-Fresh-Food-Door-Gasket.htm
PS296961,WR24X437,RCA Refrigerator Fresh Food Door Gasket,GE,refrigerator,108.55,True,5.0,2,Easy,https://www.partselect.com/PS296961-GE-WR24X437-Fresh-Food-Door-Gasket.htm
PS296972,WR24X449,RCA Refrigerator Freezer Door Gasket,GE,refrigerator,208.8,True,4.8,5,Really Easy,https://www.partselect.com/PS296972-GE-WR24X449-Freezer-Door-Gasket.htm
PS296968,WR24X445,RCA Refrigerator Freezer Door Gasket,GE,refrigerator,165.84,True,5.0,1,Easy,https://www.partselect.com/PS296968-GE-WR24X445-Freezer-Door-Gasket.htm
PS291478,WR17X10273,RCA Refrigerator Ice Storage Door,GE,refrigerator,44.73,False,5.0,1,,https://www.partselect.com/PS291478-GE-WR17X10273-Ice-Storage-Door.htm
PS295636,WR22X368,RCA Refrigerator DAIRY Door,GE,refrigerator,70.68,False,,,,https://www.partselect.com/PS295636-GE-WR22X368-DAIRY-Door.htm
PS295761,WR22X5089,RCA Refrigerator DAIRY DOOR Assembly,GE,refrigerator,49.9,False,,,,https://www.partselect.com/PS295761-GE-WR22X5089-DAIRY-DOOR-Assembly.htm
PS298658,WR2X7823,RCA Refrigerator MULLION L H,GE,refrigerator,27.49,False,,,,https://www.partselect.com/PS298658-GE-WR2X7823-MULLION-L-H.htm
PS303867,WR51X357,RCA Refrigerator HTR MULLION,GE,refrigerator,24.72,False,,,,https://www.partselect.com/PS303867-GE-WR51X357-HTR-MULLION.htm
PS303868,WR51X358,RCA Refrigerator HTR MULLION,GE,refrigerator,23.85,False,,,,https://www.partselect.com/PS303868-GE-WR51X358-HTR-MULLION.htm
PS307538,WR77X516,RCA Refrigerator Inner Door,GE,refrigerator,32.32,False,,,,https://www.partselect.com/PS307538-GE-WR77X516-Inner-Door.htm
PS307541,WR77X525,RCA Refrigerator Door INNER FRZ,GE,refrigerator,123.97,False,,,,https://www.partselect.com/PS307541-GE-WR77X525-Door-INNER-FRZ.htm
PS294617,WR1X1794,RCA Refrigerator Spacer - Freezer Door,GE,refrigerator,9.41,True,5.0,3,Very Easy,https://www.partselect.com/PS294617-GE-WR1X1794-Spacer-Freezer-Door.htm
PS298212,WR2X6278,RCA Refrigerator Door Hinge Pivot,GE,refrigerator,15.85,True,,,,https://www.partselect.com/PS298212-GE-WR2X6278-Door-Hinge-Pivot.htm
PS298393,WR2X7213,RCA Refrigerator Door Stop,GE,refrigerator,37.36,False,,,Easy,https://www.partselect.com/PS298393-GE-WR2X7213-Door-Stop.htm
PS298976,WR2X8344,RCA Refrigerator SLEEVE VINYL,GE,refrigerator,13.86,False,,,,https://www.partselect.com/PS298976-GE-WR2X8344-SLEEVE-VINYL.htm
PS290283,WR13X10105,RCA Refrigerator HINGE TOP &,GE,refrigerator,33.11,False,,,Really Easy,https://www.partselect.com/PS290283-GE-WR13X10105-HINGE-TOP.htm
PS290441,WR13X519,RCA Refrigerator HINGE Assembly,GE,refrigerator,66.4,False,,,,https://www.partselect.com/PS290441-GE-WR13X519-HINGE-Assembly.htm
PS290516,WR13X596,RCA Refrigerator Bottom Door Hinge,GE,refrigerator,33.88,False,,,Really Easy,https://www.partselect.com/PS290516-GE-WR13X596-Bottom-Door-Hinge.htm
PS290518,WR13X598,RCA Refrigerator HINGE Assembly,GE,refrigerator,34.64,False,,,,https://www.partselect.com/PS290518-GE-WR13X598-HINGE-Assembly.htm
PS1020128,WR01X10590,RCA Refrigerator Screw,GE,refrigerator,8.06,True,5.0,1,Really Easy,https://www.partselect.com/PS1020128-GE-WR01X10590-Screw.htm
PS294565,WR1X1726D,RCA Refrigerator Sheet Metal Screws - 12 per pack,GE,refrigerator,30.93,True,,,Really Easy,https://www.partselect.com/PS294565-GE-WR1X1726D-Sheet-Metal-Screws-12-per-pack.htm
PS295031,WR1X5278,RCA Refrigerator Water Tubing Clip,GE,refrigerator,8.06,False,,,Really Easy,https://www.partselect.com/PS295031-GE-WR1X5278-Water-Tubing-Clip.htm
PS1483082,WR01X10606,RCA Refrigerator SCR 8-18 CA HX 1/2 S,GE,refrigerator,8.06,True,,,,https://www.partselect.com/PS1483082-GE-WR01X10606-SCR-8-18-CA-HX-1-2-S.htm
